"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Cuba","CUB","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7000007629395","19.5","16.7000007629395","18.3999996185303","26.2999992370605","23.5","19.2999992370605","18.6000003814697","13.6000003814697","10.3999996185303","20.3999996185303","20.7999992370605","30.1000003814697","",
"Czech Republic","CZE","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","20.2000007629395","28","28.2000007629395","28.1000003814697","29.5","36","47.2999992370605","51.2999992370605","50.5999984741211","49.7999992370605","51.7000007629395","53.5999984741211","55.2000007629395","53.4000015258789","50.2000007629395","31.1000003814697","43.2999992370605","41.5","43.4000015258789","",
"Germany","DEU","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5","33.0999984741211","40","43.9000015258789","48.2999992370605","47.2000007629395","49.2000007629395","51.5","50.7999992370605","50.2999992370605","49.5999984741211","47","49.2999992370605","51.0999984741211","52.5","55.7000007629395","56","51.7999992370605","44.9000015258789","46.9000015258789","47.5999984741211","45.2000007629395","",
"Djibouti","DJI","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.2999992370605","","","","","","","","","","","","","","","","",
"Denmark","DNK","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","43.5","32.0999984741211","34","27.3999996185303","24.1000003814697","23.7999992370605","21.2999992370605","29.3999996185303","31.3999996185303","26.8999996185303","25","32.0999984741211","27.7999992370605","26.5","27","26.7000007629395","20.2999992370605","20","22","19","20.2999992370605","21.2999992370605","23.3999996185303","20.7999992370605","16.1000003814697","13.5","9.5","20.2000007629395","24.3999996185303","28","",
"Dominican Republic","DOM","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","1.39999997615814","","","1.60000002384186","","","","","","","","","","","","","",
"Algeria","DZA","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4000015258789","","",
"East Asia & Pacific (developing only)","EAP","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (all income levels)","EAS","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (developing only)","ECA","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (all income levels)","ECS","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.0929383175942","35.428579340103","39.4308042741256","41.9071172659231","42.5021343004215","43.5580105741347","43.1291612659032","42.6307952584787","42.6372881235368","40.8294936386857","40.2113810355698","40.2636588368206","41.2073251982919","41.4376787736302","41.9533574873539","39.9988226502463","35.7127665115488","31.4361052730365","36.5473010056739","38.4102156458275","38.106657930394","",
"Ecuador","ECU","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.2764327561294","41.1148571931274","43.3293852135349","46.5961957680147","49.5372287193111","48.9472172455","49.659627233013","48.9613105014329","47.5440197595108","44.7518481721572","43.0218652202005","41.4565550819922","43.2827448552387","43.3532579344671","43.455618629379","44.3239055030577","42.8563648590707","39.7234502588846","36.7901553616959","42.3945757579661","44.7169099027256","44.6877710311843","",
"Eritrea","ERI","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","58.7999992370605","60.7000007629395","57.5999984741211","56.2000007629395","51.2999992370605","49.2000007629395","43.9000015258789","46.0999984741211","52.5999984741211","54.5999984741211","52.7999992370605","51.7000007629395","49.7000007629395","46.2999992370605","42.4000015258789","36.9000015258789","33.7000007629395","33.5999984741211","32","24.5","21.7000007629395","20.3999996185303","17.8999996185303","23.7000007629395","36.5999984741211","41.5999984741211","44.5","",
"Estonia","EST","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5","23.7000007629395","22.6000003814697","31.7999992370605","42.5","36","57.2999992370605","49","49.7000007629395","48.9000015258789","46.2999992370605","48.2999992370605","52.9000015258789","45.9000015258789","52.2000007629395","53.4000015258789","48.2000007629395","49.5","30.8999996185303","27.3999996185303","45.4000015258789","56.7999992370605","54.0999984741211","",
"Ethiopia","ETH","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0999984741211","","","","","","25.1000003814697","","","","","","","","",
"European Union","EUU","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3768189666106","38.2068502211134","41.2269404972616","44.7104624444268","46.8696918907382","46.2317374951942","46.1817733745808","44.8640332633012","43.205224666729","41.9683403833013","41.2826888510373","40.308061355539","41.5274550050459","41.2173472611887","42.140361195336","42.650199278569","40.5578961288302","36.6736250969826","33.4281797035638","39.086616178857","41.6657356390684","42.1708457377819","",
"Fragile and conflict affected situations","FCS","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","27","","22.2999992370605","19.7999992370605","22.2999992370605","21.1000003814697","16","19","","1.5","","9.19999980926514","","30.6000003814697","","32.2000007629395","30","28.5","26.3999996185303","28.5","27.5","23.8999996185303","23.1000003814697","23.3999996185303","21.7999992370605","23.5","23.7999992370605","22.7000007629395","18","16.6000003814697","23.3999996185303","22.3999996185303","21.3999996185303","",
"Fiji","FJI","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.5999984741211","","","","","","","","",
